#   t       A            B            C            D
0.180000 0.3719313327 2.4750290878 0.2196797360 -0.2698223996
0.181000 0.3744063618 2.4748566968 0.2194099136 -0.2697591542
0.182000 0.3768812185 2.4746779976 0.2191401544 -0.2696959227
0.183000 0.3793558965 2.4744932128 0.2188704585 -0.2696327051
0.184000 0.3818303897 2.4743025572 0.2186008258 -0.2695695014
0.185000 0.3843046923 2.4741062381 0.2183312563 -0.2695063115
0.186000 0.3867787985 2.4739044555 0.2180617500 -0.2694431355
0.187000 0.3892527030 2.4736974023 0.2177923069 -0.2693799734
0.188000 0.3917264004 2.4734852647 0.2175229269 -0.2693168252
0.189000 0.3941998856 2.4732682222 0.2172536101 -0.2692536908
0.190000 0.3966731538 2.4730464483 0.2169843564 -0.2691905703
0.191000 0.3991462003 2.4728201100 0.2167151658 -0.2691274636
0.192000 0.4016190204 2.4725893688 0.2164460383 -0.2690643709
0.193000 0.4040916098 2.4723543802 0.2161769740 -0.2690012919
0.194000 0.4065639642 2.4721152945 0.2159079727 -0.2689382268
0.195000 0.4090360795 2.4718722565 0.2156390344 -0.2688751756
0.196000 0.4115079517 2.4716254060 0.2153701593 -0.2688121382
0.197000 0.4139795771 2.4713748779 0.2151013471 -0.2687491147
0.198000 0.4164509520 2.4711208024 0.2148325980 -0.2686861050
0.199000 0.4189220728 2.4708633050 0.2145639119 -0.2686231092
0.200000 0.4213929361 2.4706025068 0.2142952888 -0.2685601272
0.201000 0.4238635386 2.4703385247 0.2140267287 -0.2684971590
0.202000 0.4263338771 2.4700714716 0.2137582315 -0.2684342046
0.203000 0.4288039486 2.4698014561 0.2134897973 -0.2683712641
0.204000 0.4312737501 2.4695285833 0.2132214260 -0.2683083375
0.205000 0.4337432786 2.4692529544 0.2129531177 -0.2682454246
0.206000 0.4362125316 2.4689746672 0.2126848723 -0.2681825256
0.207000 0.4386815063 2.4686938159 0.2124166898 -0.2681196403
0.208000 0.4411502001 2.4684104916 0.2121485701 -0.2680567689
0.209000 0.4436186106 2.4681247819 0.2118805134 -0.2679939114
0.210000 0.4460867354 2.4678367717 0.2116125194 -0.2679310676
0.211000 0.4485545721 2.4675465424 0.2113445884 -0.2678682376
0.212000 0.4510221187 2.4672541731 0.2110767201 -0.2678054215
0.213000 0.4534893728 2.4669597397 0.2108089147 -0.2677426191
0.214000 0.4559563326 2.4666633157 0.2105411721 -0.2676798306
0.215000 0.4584229959 2.4663649717 0.2102734923 -0.2676170558
