#   t       A            B            C            D
0.317000 0.7094310404 2.4320866975 0.1831595953 -0.2612821540
0.318000 0.7118629495 2.4317388249 0.1828983476 -0.2612207885
0.319000 0.7142945107 2.4313909285 0.1826371613 -0.2611594366
0.320000 0.7167257241 2.4310430099 0.1823760363 -0.2610980981
0.321000 0.7191565895 2.4306950709 0.1821149727 -0.2610367732
0.322000 0.7215871070 2.4303471129 0.1818539703 -0.2609754618
0.323000 0.7240172765 2.4299991376 0.1815930293 -0.2609141639
0.324000 0.7264470980 2.4296511463 0.1813321496 -0.2608528796
0.325000 0.7288765715 2.4293031406 0.1810713311 -0.2607916087
0.326000 0.7313056970 2.4289551219 0.1808105739 -0.2607303514
0.327000 0.7337344745 2.4286070914 0.1805498780 -0.2606691075
0.328000 0.7361629040 2.4282590505 0.1802892433 -0.2606078772
0.329000 0.7385909854 2.4279110004 0.1800286698 -0.2605466603
0.330000 0.7410187187 2.4275629422 0.1797681575 -0.2604854570
0.331000 0.7434461040 2.4272148773 0.1795077064 -0.2604242672
0.332000 0.7458731412 2.4268668066 0.1792473165 -0.2603630908
0.333000 0.7482998304 2.4265187312 0.1789869878 -0.2603019280
0.334000 0.7507261714 2.4261706523 0.1787267202 -0.2602407786
0.335000 0.7531521644 2.4258225707 0.1784665138 -0.2601796427
0.336000 0.7555778094 2.4254744875 0.1782063685 -0.2601185203
0.337000 0.7580031062 2.4251264037 0.1779462843 -0.2600574114
0.338000 0.7604280549 2.4247783200 0.1776862612 -0.2599963160
0.339000 0.7628526556 2.4244302374 0.1774262992 -0.2599352340
0.340000 0.7652769082 2.4240821568 0.1771663983 -0.2598741655
0.341000 0.7677008127 2.4237340789 0.1769065584 -0.2598131105
0.342000 0.7701243691 2.4233860045 0.1766467796 -0.2597520689
0.343000 0.7725475775 2.4230379344 0.1763870618 -0.2596910408
0.344000 0.7749704378 2.4226898694 0.1761274050 -0.2596300262
0.345000 0.7773929500 2.4223418100 0.1758678093 -0.2595690250
0.346000 0.7798151142 2.4219937571 0.1756082745 -0.2595080373
0.347000 0.7822369303 2.4216457112 0.1753488007 -0.2594470631
0.348000 0.7846583984 2.4212976730 0.1750893879 -0.2593861023
0.349000 0.7870795184 2.4209496431 0.1748300360 -0.2593251549
0.350000 0.7895002904 2.4206016222 0.1745707451 -0.2592642210
0.351000 0.7919207144 2.4202536107 0.1743115151 -0.2592033005
0.352000 0.7943407904 2.4199056092 0.1740523460 -0.2591423935
0.353000 0.7967605184 2.4195576183 0.1737932378 -0.2590814999
0.354000 0.7991798985 2.4192096385 0.1735341905 -0.2590206198
0.355000 0.8015989305 2.4188616702 0.1732752041 -0.2589597531
